R/W Raw,R/W Scale Low,R/W Raw,R/W Scale High,Math Raw,Math Scale Low,Math Raw,Math Scale High
0,200,0,200,0,200,0,200
1,210,1,230,1,200,1,220
2,220,2,240,2,200,2,230
3,230,3,250,3,220,3,250
4,250,4,270,4,250,4,280
5,260,5,280,5,270,5,300
6,280,6,300,6,290,6,320
7,290,7,310,7,300,7,330
8,300,8,320,8,310,8,340
9,330,9,350,9,320,9,350
10,350,10,370,10,330,10,360
11,360,11,380,11,340,11,370
12,370,12,390,12,350,12,380
13,380,13,400,13,360,13,390
14,390,14,410,14,370,14,400
15,400,15,420,15,380,15,410
16,410,16,430,16,400,16,430
17,420,17,440,17,410,17,440
18,430,18,450,18,420,18,450
19,440,19,460,19,430,19,460
20,450,20,470,20,440,20,470
21,460,21,480,21,450,21,480
22,470,22,490,22,460,22,490
23,480,23,500,23,480,23,510
24,490,24,510,24,490,24,520
25,490,25,510,25,510,25,540
26,500,26,520,26,520,26,550
27,510,27,530,27,530,27,560
28,520,28,540,28,540,28,570
29,530,29,550,29,560,29,590
30,540,30,560,30,570,30,600
31,550,31,570,31,590,31,620
32,560,32,580,32,600,32,630
33,570,33,590,33,610,33,640
34,570,34,590,34,630,34,660
35,580,35,600,35,640,35,670
36,590,36,610,36,660,36,690
37,590,37,610,37,670,37,700
38,600,38,620,38,690,38,720
39,610,39,630,39,700,39,730
40,620,40,640,40,720,40,750
41,630,41,650,41,740,41,770
42,640,42,660,42,770,42,790
43,640,43,660,43,790,43,800
44,650,44,670,44,800,44,800
45,660,45,680,,,,
46,670,46,690,,,,
47,680,47,700,,,,
48,690,48,710,,,,
49,700,49,720,,,,
50,710,50,730,,,,
51,720,51,740,,,,
52,740,52,770,,,,
53,770,53,790,,,,
54,800,54,800,,,,