,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAT Final Diagnostic Score Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Your SAT score is calculated from the four test modules across two sections: Reading and Writing and Math. The raw points (total number of correct answers) from each module are converted into a scaled score, which adds to a maximum of 1600 points. There are 800 points available in Reading and Writing and 800 in Math. Your composite and section scores on this diagnostic are reported as a range due to the adaptive nature of the digital SAT and the unknowns inherent to the SAT's proprietary algorithms. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Composite Score,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,400,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reading and Writing Module 1,,,,,,Reading and Writing Module 2,,,,,,,,,,,,,,,,,,
,,,,Raw Points,,0,,,,Raw Points,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reading and Writing Score,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Math Module 1,,,,,,Math Module 2,,,,,,,,,,,,,,,,,,
,,,,Raw Score,,0,,,Raw Score,,,,0,,,,,,,,,,,,,,,
,,,,Multiple Choice Raw,,0,,,Multiple Choice Raw,,,,0,,,,,,,,,,,,,,,
,,,,Student Produced Response Raw,,0,,,Student Produced Response Raw,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Math Score,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Reading and Writing Module 1,,,,,Reading and Writing Module 2,,,,,,,,,,,,,,,,,,,,
,,,Raw Score,,0,,,Raw Score,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Question,Correct Answer,Student Answer,Point,Question Domain,,,Question,Correct Answer,Student Answer,Point,Question Domain,,,,,,,,,,,,,,,,
,1,A,,0,Craft and Structure,,,1,B,,0,Craft and Structure,,,,,,,,,,,,,,,,
,2,A,,0,Craft and Structure,,,2,B,,0,Craft and Structure,,,,,Math Graph Data,,,,,,,Reading and Writing Graph Data,,,,
,3,C,,0,Craft and Structure,,,3,B,,0,Craft and Structure,,,,,,,,,,,,,,,,
,4,A,,0,Craft and Structure,,,4,B,,0,Craft and Structure,,,,,,,,,,,Question Domain,,,,,
,5,B,,0,Craft and Structure,,,5,A,,0,Craft and Structure,,,,,,,,,,,Craft and Structure,,,15,0,0%
,6,D,,0,Craft and Structure,,,6,C,,0,Craft and Structure,,,,,Question Category,,,,,,Information and Ideas,,,14,0,0%
,7,B,,0,Craft and Structure,,,7,C,,0,Craft and Structure,,,,,Multiple Choice,,30,0,0%,,Standard English Conventions,,,14,0,0%
,8,B,,0,Craft and Structure,,,8,A,,0,Information and Ideas,,,,,SPR,,14,0,0%,,Expression of Ideas,,,11,0,0%
,9,C,,0,Information and Ideas,,,9,A,,0,Information and Ideas,,,,,,,,,,,,,,,,
,10,D,,0,Information and Ideas,,,10,B,,0,Information and Ideas,,,,,Question Domain,,,,,,,,,,,
,11,A,,0,Information and Ideas,,,11,C,,0,Information and Ideas,,,,,Algebra,,15,0,0%,,,,,,,
,12,C,,0,Information and Ideas,,,12,C,,0,Information and Ideas,,,,,Advanced Math,,15,0,0%,,,,,,,
,13,A,,0,Information and Ideas,,,13,A,,0,Information and Ideas,,,,,Geometry/Trigonometry,,8,0,0%,,,,,,,
,14,A,,0,Information and Ideas,,,14,B,,0,Information and Ideas,,,,,Problem Solving/Data Analysis,,6,0,0%,,,,,,,
,15,A,,0,Standard English Conventions,,,15,D,,0,Information and Ideas,,,,,,,,,,,,,,,,
,16,D,,0,Standard English Conventions,,,16,C,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,17,D,,0,Standard English Conventions,,,17,B,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,18,D,,0,Standard English Conventions,,,18,D,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,19,B,,0,Standard English Conventions,,,19,A,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,20,C,,0,Standard English Conventions,,,20,B,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,21,B,,0,Standard English Conventions,,,21,B,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,22,A,,0,Standard English Conventions,,,22,A,,0,Expression of Ideas,,,,,,,,,,,,,,,,
,23,C,,0,Expression of Ideas,,,23,A,,0,Expression of Ideas,,,,,,,,,,,,,,,,
,24,D,,0,Expression of Ideas,,,24,C,,0,Expression of Ideas,,,,,,,,,,,,,,,,
,25,A,,0,Expression of Ideas,,,25,C,,0,Expression of Ideas,,,,,,,,,,,,,,,,
,26,D,,0,Expression of Ideas,,,26,A,,0,Expression of Ideas,,,,,,,,,,,,,,,,
,27,C,,0,Expression of Ideas,,,27,B,,0,Expression of Ideas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Question Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,
,· Craft and Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Students will use comprehension, vocabulary, analysis, synthesis, and reasoning skills and knowledge to use and determine the meaning of high-utility academic words and phrases in context, evaluate texts rhetorically, and make supportable connections between multiple topically related texts – in the latter students will answer a single question comparing two short texts. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,· Information and Ideas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Students will use comprehension, analysis, and reasoning skills and knowledge as well as what is stated and implied in texts (including any informational graphics) to locate, interpret, evaluate, and integrate information and ideas.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,· Standard English Conventions,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Students will use editing skills and knowledge to make a text conform to core conventions of Standard English, sentence structure, usage, and punctuation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,· Expression of Ideas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Students will use revision skills and knowledge to improve the effectiveness of written expression in accordance with specified rhetorical goals. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Math Module 1,,,,,Math Module 2,,,,,,,,,,,,,,,,,,,
,,,,Raw Score,,0,,,Raw Score,,,,0,,,,,,,,,,,,,,,
,,,,Multiple Choice Raw,,0,,,Multiple Choice Raw,,,,0,,,,,,,,,,,,,,,
,,,,Student Produced Response Raw,,0,,,Student Produced Response Raw,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Module 1,,,,,,,,Module 2,,,,,,,,,,,,,,,,,,,
,Question,Correct Answer,Student Answer,Point,Question Domain,Category,,,Question,Correct Answer,Student Answer,Point,Question Domain,Category,,,,,,,,,,,,,,
,1,D,,0,Algebra,Multiple Choice,,,1,A,,0,Algebra,Multiple Choice,,,,,,,,,,,,,,
,2,A,,0,Algebra,Multiple Choice,,,2,15; -5,,0,Advanced Math,SPR,,,,,,,,,,,,,,
,3,9,,0,Algebra,SPR,,,3,50,,0,Algebra,SPR,,,,,,,,,,,,,,
,4,10,,0,Problem Solving/Data Analysis,SPR,,,4,D,,0,Advanced Math,Multiple Choice,,,,,,,,,,,,,,
,5,B,,0,Geometry/Trigonometry,Multiple Choice,,,5,A,,0,Problem Solving/Data Analysis,Multiple Choice,,,,,,,,,,,,,,
,6,D,,0,Algebra,Multiple Choice,,,6,A,,0,Algebra,Multiple Choice,,,,,,,,,,,,,,
,7,A,,0,Algebra,Multiple Choice,,,7,B,,0,Advanced Math,Multiple Choice,,,,,,,,,,,,,,
,8,1/5; .2,,0,Algebra,SPR,,,8,.3; 3/10,,0,Problem Solving/Data Analysis,SPR,,,,Math Multiple SPR AnswersGrading,,,,,,,,,,
,9,80,,0,Algebra,SPR,,,9,2,,0,Algebra,SPR,,,,Mod 1 #16,361/8,45.12,45.13,,,,,,,
,10,D,,0,Algebra,Multiple Choice,,,10,A,,0,Algebra,Multiple Choice,,,,Mod 2 #2,15,-5,,,,,,,,
,11,B,,0,Advanced Math,Multiple Choice,,,11,C,,0,Geometry/Trigonometry,Multiple Choice,,,,Mod 2 #8,0.3,3/10,,,,,,,,
,12,B,,0,Problem Solving/Data Analysis,Multiple Choice,,,12,B,,0,Algebra,Multiple Choice,,,,Mod 2 #15,15/17,0.8824,0.8823,,,,,,,
,13,A,,0,Advanced Math,Multiple Choice,,,13,D,,0,Advanced Math,Multiple Choice,,,,Mod 1 #8,1/5,0.2,,,,,,,,
,14,C,,0,Advanced Math,Multiple Choice,,,14,A,,0,Advanced Math,Multiple Choice,,,,,,,,,,,,,,
,15,100,,0,Geometry/Trigonometry,SPR,,,15,15/17; .8824; .8823,,0,Geometry/Trigonometry,SPR,,,,,,,,,,,,,,
,16,361/8; 45.12; 45.13,,0,Advanced Math,SPR,,,16,51,,0,Advanced Math,SPR,,,,,,,,,,,,,,
,17,B,,0,Geometry/Trigonometry,Multiple Choice,,,17,A,,0,Algebra,Multiple Choice,,,,,,,,,,,,,,
,18,D,,0,Advanced Math,Multiple Choice,,,18,C,,0,Advanced Math,Multiple Choice,,,,,,,,,,,,,,
,19,C,,0,Advanced Math,Multiple Choice,,,19,C,,0,Problem Solving/Data Analysis,Multiple Choice,,,,,,,,,,,,,,
,20,C,,0,Geometry/Trigonometry,Multiple Choice,,,20,D,,0,Geometry/Trigonometry,Multiple Choice,,,,,,,,,,,,,,
,21,D,,0,Advanced Math,Multiple Choice,,,21,B,,0,Geometry/Trigonometry,Multiple Choice,,,,,,,,,,,,,,
,22,5,,0,Advanced Math,SPR,,,22,600,,0,Problem Solving/Data Analysis,SPR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Question Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"· Algebra: Students must analyze, solve, and create linear equations and inequalities as well as analyze and solve systems of equations using multiple techniques.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,· Advanced Math,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Students must demonstrate skills and knowledge central for successful progression to more advanced math courses, including analyzing, solving, interpreting, and creating equations, including absolute value, quadratic, exponential, polynomial, rational, radical, and other nonlinear equations, as well as analyzing and solving systems of linear and nonlinear equations in two variables. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,· Problem Solving and Data Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Students must apply quantitative reasoning about ratios, rates, and proportional relationships; understand and apply unit rate; and analyze and interpret one and two-variable data.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"· Geometry and Trigonometry: Students must solve problems that focus on perimeter, area, and volume; angles, triangles, and trigonometry; and circles. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,,,,,,,,,,,,,,,,,,,,,,,,,,,
,· Multiple Choice: Students must choose from four answers.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,· SPR: Students must enter their own answer (Student Produced Response).,,,,,,,,,,,,,,,,,,,,,,,,,,,
